"movie","genre","title"
"http://dbpedia.org/resource/Power_Rangers_Mystic_Force","http://dbpedia.org/resource/Science_fantasy","Power Rangers Mystic Force"
"http://dbpedia.org/resource/Power_Rangers_RPM","http://dbpedia.org/resource/Cyberpunk","Power Rangers RPM"
"http://dbpedia.org/resource/Power_Rangers_RPM","http://dbpedia.org/resource/Post-apocalyptic","Power Rangers RPM"
"http://dbpedia.org/resource/Power_Rangers_RPM","http://dbpedia.org/resource/Science_fiction","Power Rangers RPM"
"http://dbpedia.org/resource/Power_Rangers_RPM","http://dbpedia.org/resource/Action-adventure","Power Rangers RPM"
"http://dbpedia.org/resource/Power_Rangers_RPM","http://dbpedia.org/resource/Dystopian_fiction","Power Rangers RPM"
"http://dbpedia.org/resource/Power_Rangers_Time_Force","http://dbpedia.org/resource/Superhero_fiction","Power Rangers Time Force"
"http://dbpedia.org/resource/Power_Rangers_Time_Force","http://dbpedia.org/resource/Action_(genre)","Power Rangers Time Force"
"http://dbpedia.org/resource/Power_Rangers_Time_Force","http://dbpedia.org/resource/Science_fiction","Power Rangers Time Force"
"http://dbpedia.org/resource/Power_Rangers_Turbo","http://dbpedia.org/resource/Comedy","Power Rangers Turbo"
"http://dbpedia.org/resource/Power_Rangers_Turbo","http://dbpedia.org/resource/Superhero_fiction","Power Rangers Turbo"
"http://dbpedia.org/resource/Power_Rangers_Turbo","http://dbpedia.org/resource/Action_(genre)","Power Rangers Turbo"
"http://dbpedia.org/resource/Power_Rangers_Turbo","http://dbpedia.org/resource/Science_fantasy","Power Rangers Turbo"
"http://dbpedia.org/resource/Preciosas","http://dbpedia.org/resource/Comedy_film","Preciosas"
"http://dbpedia.org/resource/Preciosas","http://dbpedia.org/resource/Action_film","Preciosas"
"http://dbpedia.org/resource/Princesses_(TV_series)","http://dbpedia.org/resource/Sitcom","Princesses (TV series)"
"http://dbpedia.org/resource/Private_Lives","http://dbpedia.org/resource/Romantic_comedy","Private Lives"
"http://dbpedia.org/resource/Processional_(play)","http://dbpedia.org/resource/Modernist","Processional (play)"
"http://dbpedia.org/resource/Project_Viper","http://dbpedia.org/resource/Sci-fi","Project Viper"
"http://dbpedia.org/resource/Project_Viper","http://dbpedia.org/resource/Thriller_(genre)","Project Viper"
"http://dbpedia.org/resource/Prosperity_(Singaporean_TV_series)","http://dbpedia.org/resource/Chinese_New_Year","Prosperity (Singaporean TV series)"
"http://dbpedia.org/resource/Prosto_w_serce","http://dbpedia.org/resource/Soap_opera","Prosto w serce"
"http://dbpedia.org/resource/Psychoville","http://dbpedia.org/resource/Mystery_fiction","Psychoville"
"http://dbpedia.org/resource/Psychoville","http://dbpedia.org/resource/Psychological_horror","Psychoville"
"http://dbpedia.org/resource/Psychoville","http://dbpedia.org/resource/Psychological_thriller","Psychoville"
"http://dbpedia.org/resource/Psychoville","http://dbpedia.org/resource/Black_comedy","Psychoville"
"http://dbpedia.org/resource/Psychoville","http://dbpedia.org/resource/Sitcom","Psychoville"
"http://dbpedia.org/resource/Public_Life_with_Randy_David","http://dbpedia.org/resource/Public_affairs_(broadcasting)","Public Life with Randy David"
"http://dbpedia.org/resource/Public_Morals_(1996_TV_series)","http://dbpedia.org/resource/Sitcom","Public Morals (1996 TV series)"
"http://dbpedia.org/resource/Puff_the_Magic_Dragon_in_the_Land_of_the_Living_Lies","http://dbpedia.org/resource/Animation","Puff the Magic Dragon in the Land of the Living Lies"
"http://dbpedia.org/resource/Puff_the_Magic_Dragon_in_the_Land_of_the_Living_Lies","http://dbpedia.org/resource/Family_film","Puff the Magic Dragon in the Land of the Living Lies"
"http://dbpedia.org/resource/Puff_the_Magic_Dragon_in_the_Land_of_the_Living_Lies","http://dbpedia.org/resource/Fantasy","Puff the Magic Dragon in the Land of the Living Lies"
"http://dbpedia.org/resource/Puff_the_Magic_Dragon_in_the_Land_of_the_Living_Lies","http://dbpedia.org/resource/Short_film","Puff the Magic Dragon in the Land of the Living Lies"
"http://dbpedia.org/resource/Pumpkinhead:_Ashes_to_Ashes","http://dbpedia.org/resource/Horror_film","Pumpkinhead: Ashes to Ashes"
