movie,genre,title
Robin_Hood_(2006_TV_series),Folklore,Robin Hood (2006 TV series)
Robin_Hood_(2006_TV_series),Adventure,Robin Hood (2006 TV series)
Robotech_(TV_series),Epic_(genre),Robotech (TV series)
Robotech_(TV_series),Space_opera,Robotech (TV series)
Robotech_(TV_series),Mecha,Robotech (TV series)
Rock_'N'_America,Comedy,Rock 'N' America
Rock_'N'_America,Music_video,Rock 'N' America
Rockabye_(1986_film),Drama,Rockabye (1986 film)
Rocket_of_China_(TV_series),Historical_drama,Rocket of China (TV series)
Rockovnik,Documentary,Rockovnik
Rod_Santiago's_The_Sisters,Drama,Rod Santiago's The Sisters
Rogue_Emperor,Dramatic_programming,Rogue Emperor
Romantic_Repertoire,Dramatic_programming,Romantic Repertoire
Ron_Clark_Ball,Mystery_fiction,Ron Clark Ball
Ron_Clark_Ball,Spy_fiction,Ron Clark Ball
Ron_Clark_Ball,Thriller_(genre),Ron Clark Ball
Roommate_(TV_series),Reality_show,Roommate (TV series)
Roots_(2016_miniseries),Historical_drama,Roots (2016 miniseries)
Rosemary's_Baby_(miniseries),Horror_film,Rosemary's Baby (miniseries)
Roy_(TV_series),Live-action,Roy (TV series)
Roy_(TV_series),Comedy,Roy (TV series)
Sandwiches_That_You_Will_Like,Television_documentary,Sandwiches That You Will Like
Sango-sho_Densetsu:_Aoi_Umi_no_Erufii,Fantasy_film,Sango-sho Densetsu: Aoi Umi no Erufii
Sango-sho_Densetsu:_Aoi_Umi_no_Erufii,Adventure_film,Sango-sho Densetsu: Aoi Umi no Erufii
Sangue_Bom,Telenovela,Sangue Bom
Sangue_Bom,Romantic_comedy,Sangue Bom
Sanib_Puwersa,Documentary,Sanib Puwersa
Sannata,Drama,Sannata
Sannata,Thriller_(genre),Sannata
Satan's_School_for_Girls_(2000_film),Horror_film,Satan's School for Girls (2000 film)
Satan's_School_for_Girls_(2000_film),Drama_(film_and_television),Satan's School for Girls (2000 film)
Saturday_Night_Live_Weekend_Update_Thursday,Satire,Saturday Night Live Weekend Update Thursday
Saturday_Night_Live_Weekend_Update_Thursday,News,Saturday Night Live Weekend Update Thursday
Saturday_Night_Live_Weekend_Update_Thursday,Comedy,Saturday Night Live Weekend Update Thursday
Savages_(1974_film),Thriller_film,Savages (1974 film)
Save_the_Last_Dance_for_Me_(TV_series),Romance_film,Save the Last Dance for Me (TV series)
Save_the_Last_Dance_for_Me_(TV_series),Melodrama,Save the Last Dance for Me (TV series)
Scooby-Doo!_The_Mystery_Begins,Comedy_horror,Scooby-Doo! The Mystery Begins
Scooby-Doo_Meets_the_Boo_Brothers,Mystery_fiction,Scooby-Doo Meets the Boo Brothers
Scooby-Doo_Meets_the_Boo_Brothers,Animation,Scooby-Doo Meets the Boo Brothers
Scooby-Doo_Meets_the_Boo_Brothers,Comedy,Scooby-Doo Meets the Boo Brothers
Scrabble_Complete,Puzzle_game,Scrabble Complete
Scrambled!,Children,Scrambled!
"Scream,_Pretty_Peggy",Horror_film,"Scream, Pretty Peggy"
Mythos_(film),Mythology,Mythos (film)
The_Memory_of_Water,Comedy,The Memory of Water
Macabre_Cadaver,Literature,Macabre Cadaver
Meet_the_Wife_(play),Comedy,Meet the Wife (play)
The_Game_of_Love_and_Chance,Romantic_comedy,The Game of Love and Chance
Bates_Motel_(film),Horror_film,Bates Motel (film)
Beautiful_Young_Minds,Television_documentary,Beautiful Young Minds
Beauty_&_the_Briefcase,Romantic_comedy,Beauty & the Briefcase
Becoming_Dick,Comedy,Becoming Dick
Becoming_Human,Comedy-drama,Becoming Human
Behind_Silk_Curtains,Dramatic_programming,Behind Silk Curtains
Bellamy's_People,Situation_comedy,Bellamy's People
Belíssima,Telenovela,Belíssima
Beppinsan,Drama_(film_and_television),Beppinsan
Bergerac_(TV_series),Mystery_fiction,Bergerac (TV series)
Bergerac_(TV_series),Crime_fiction,Bergerac (TV series)
